,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,S,0,-1.1111111111111112,37,56,3,2023-10-24 17:00:00+00:00
1,S,0,-1.1111111111111112,32,60,3,2023-10-24 18:00:00+00:00
2,S,0,-1.1111111111111112,28,63,5,2023-10-24 19:00:00+00:00
3,S,0,-1.1111111111111112,27,64,5,2023-10-24 20:00:00+00:00
4,S,0,-0.5555555555555556,27,66,5,2023-10-24 21:00:00+00:00
5,S,0,-0.5555555555555556,28,65,5,2023-10-24 22:00:00+00:00
6,SE,0,-0.5555555555555556,32,62,3,2023-10-24 23:00:00+00:00
7,E,0,-0.5555555555555556,36,58,2,2023-10-25 00:00:00+00:00
8,E,0,-0.5555555555555556,41,55,1,2023-10-25 01:00:00+00:00
9,E,0,0.0,45,52,1,2023-10-25 02:00:00+00:00
10,SE,0,0.5555555555555556,51,50,1,2023-10-25 03:00:00+00:00
11,S,0,1.1111111111111112,56,49,1,2023-10-25 04:00:00+00:00
