,number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,1,,2023-10-31T08:00:00-04:00,2023-10-31T09:00:00-04:00,True,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 17}","{'unitCode': 'wmoUnit:degC', 'value': 2.7777777777777777}","{'unitCode': 'wmoUnit:percent', 'value': 96}",5 mph,NW,"https://api.weather.gov/icons/land/day/rain,17?size=small",Slight Chance Light Rain,
1,2,,2023-10-31T09:00:00-04:00,2023-10-31T10:00:00-04:00,True,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': 17}","{'unitCode': 'wmoUnit:degC', 'value': 2.7777777777777777}","{'unitCode': 'wmoUnit:percent', 'value': 93}",3 mph,N,"https://api.weather.gov/icons/land/day/rain,17?size=small",Slight Chance Light Rain,
2,3,,2023-10-31T10:00:00-04:00,2023-10-31T11:00:00-04:00,True,40,F,,"{'unitCode': 'wmoUnit:percent', 'value': 17}","{'unitCode': 'wmoUnit:degC', 'value': 3.3333333333333335}","{'unitCode': 'wmoUnit:percent', 'value': 92}",3 mph,N,"https://api.weather.gov/icons/land/day/rain,17?size=small",Slight Chance Light Rain,
3,4,,2023-10-31T11:00:00-04:00,2023-10-31T12:00:00-04:00,True,41,F,,"{'unitCode': 'wmoUnit:percent', 'value': 15}","{'unitCode': 'wmoUnit:degC', 'value': 3.888888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 92}",3 mph,SE,"https://api.weather.gov/icons/land/day/rain,15?size=small",Slight Chance Light Rain,
4,5,,2023-10-31T12:00:00-04:00,2023-10-31T13:00:00-04:00,True,42,F,,"{'unitCode': 'wmoUnit:percent', 'value': 12}","{'unitCode': 'wmoUnit:degC', 'value': 3.888888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 90}",3 mph,S,"https://api.weather.gov/icons/land/day/ovc,12?size=small",Cloudy,
5,6,,2023-10-31T13:00:00-04:00,2023-10-31T14:00:00-04:00,True,42,F,,"{'unitCode': 'wmoUnit:percent', 'value': 8}","{'unitCode': 'wmoUnit:degC', 'value': 3.888888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 89}",3 mph,W,"https://api.weather.gov/icons/land/day/ovc,8?size=small",Cloudy,
6,7,,2023-10-31T14:00:00-04:00,2023-10-31T15:00:00-04:00,True,44,F,,"{'unitCode': 'wmoUnit:percent', 'value': 7}","{'unitCode': 'wmoUnit:degC', 'value': 4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 86}",5 mph,W,"https://api.weather.gov/icons/land/day/ovc,7?size=small",Cloudy,
7,8,,2023-10-31T15:00:00-04:00,2023-10-31T16:00:00-04:00,True,44,F,,"{'unitCode': 'wmoUnit:percent', 'value': 5}","{'unitCode': 'wmoUnit:degC', 'value': 4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 86}",7 mph,W,"https://api.weather.gov/icons/land/day/ovc,5?size=small",Cloudy,
8,9,,2023-10-31T16:00:00-04:00,2023-10-31T17:00:00-04:00,True,44,F,,"{'unitCode': 'wmoUnit:percent', 'value': 4}","{'unitCode': 'wmoUnit:degC', 'value': 3.888888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 83}",8 mph,W,"https://api.weather.gov/icons/land/day/bkn,4?size=small",Mostly Cloudy,
9,10,,2023-10-31T17:00:00-04:00,2023-10-31T18:00:00-04:00,True,43,F,,"{'unitCode': 'wmoUnit:percent', 'value': 3}","{'unitCode': 'wmoUnit:degC', 'value': 3.3333333333333335}","{'unitCode': 'wmoUnit:percent', 'value': 83}",9 mph,W,"https://api.weather.gov/icons/land/day/bkn,3?size=small",Mostly Cloudy,
