,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp,windDirection_x,windDirection_y
0,0,6.666666666666667,66,55,17,2023-11-07 15:00:00+00:00,-1.0,0.0
1,0,7.222222222222222,63,58,17,2023-11-07 16:00:00+00:00,-1.0,0.0
2,0,8.333333333333334,62,60,14,2023-11-07 17:00:00+00:00,-1.0,0.0
3,0,8.88888888888889,58,62,13,2023-11-07 18:00:00+00:00,-1.0,0.0
4,0,8.88888888888889,54,65,13,2023-11-07 19:00:00+00:00,-1.0,0.0
5,0,8.88888888888889,51,66,13,2023-11-07 20:00:00+00:00,-1.0,0.0
6,0,8.333333333333334,48,67,12,2023-11-07 21:00:00+00:00,-1.0,0.0
7,0,8.333333333333334,49,67,12,2023-11-07 22:00:00+00:00,-1.0,0.0
8,0,8.333333333333334,53,64,10,2023-11-07 23:00:00+00:00,-1.0,0.0
9,0,8.333333333333334,58,62,9,2023-11-08 00:00:00+00:00,-1.0,0.0
10,0,8.333333333333334,63,59,8,2023-11-08 01:00:00+00:00,-1.0,0.0
11,0,8.333333333333334,66,58,7,2023-11-08 02:00:00+00:00,-1.0,0.0
12,0,7.777777777777778,69,56,6,2023-11-08 03:00:00+00:00,-1.0,0.0
13,0,7.777777777777778,72,55,6,2023-11-08 04:00:00+00:00,-1.0,0.0
14,0,7.777777777777778,75,54,6,2023-11-08 05:00:00+00:00,-1.0,0.0
15,0,7.777777777777778,76,53,6,2023-11-08 06:00:00+00:00,-0.7071067811865476,0.7071067811865476
16,0,7.777777777777778,78,52,6,2023-11-08 07:00:00+00:00,-0.7071067811865476,0.7071067811865476
17,0,7.777777777777778,79,52,6,2023-11-08 08:00:00+00:00,-0.7071067811865476,0.7071067811865476
18,0,7.222222222222222,81,51,5,2023-11-08 09:00:00+00:00,-0.7071067811865476,0.7071067811865476
19,0,7.222222222222222,82,50,5,2023-11-08 10:00:00+00:00,-0.7071067811865476,0.7071067811865476
20,0,7.222222222222222,84,49,5,2023-11-08 11:00:00+00:00,-1.0,0.0
21,0,7.222222222222222,86,48,5,2023-11-08 12:00:00+00:00,-1.0,0.0
22,0,7.222222222222222,85,49,5,2023-11-08 13:00:00+00:00,-1.0,0.0
23,0,7.222222222222222,75,53,5,2023-11-08 14:00:00+00:00,-1.0,0.0
24,0,7.777777777777778,67,57,6,2023-11-08 15:00:00+00:00,-0.7071067811865476,-0.7071067811865476
