,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp,windDirection_x,windDirection_y,windSpeed_knots
0,40,11.11111111111111,94,54,3,2023-11-10 08:00:00+00:00,0.0,1.0,3
1,52,11.11111111111111,94,53,3,2023-11-10 09:00:00+00:00,0.7071067811865476,0.7071067811865476,3
2,61,10.555555555555555,95,53,3,2023-11-10 10:00:00+00:00,1.0,0.0,3
3,70,10.555555555555555,98,51,3,2023-11-10 11:00:00+00:00,1.0,0.0,3
4,70,10.0,97,51,5,2023-11-10 12:00:00+00:00,1.0,0.0,4
5,79,9.444444444444445,99,50,6,2023-11-10 13:00:00+00:00,0.7071067811865476,-0.7071067811865476,5
6,81,8.88888888888889,100,48,5,2023-11-10 14:00:00+00:00,1.0,0.0,4
7,84,9.444444444444445,97,49,6,2023-11-10 15:00:00+00:00,0.7071067811865476,0.7071067811865476,5
8,82,8.88888888888889,89,52,6,2023-11-10 16:00:00+00:00,0.7071067811865476,0.7071067811865476,5
9,82,8.88888888888889,93,50,6,2023-11-10 17:00:00+00:00,0.7071067811865476,0.7071067811865476,5
10,64,8.88888888888889,96,50,7,2023-11-10 18:00:00+00:00,0.7071067811865476,0.7071067811865476,6
11,61,8.88888888888889,96,49,6,2023-11-10 19:00:00+00:00,0.7071067811865476,0.7071067811865476,5
12,54,8.88888888888889,97,49,7,2023-11-10 20:00:00+00:00,0.7071067811865476,0.7071067811865476,6
13,47,8.333333333333334,100,47,6,2023-11-10 21:00:00+00:00,0.7071067811865476,0.7071067811865476,5
14,38,8.333333333333334,100,47,6,2023-11-10 22:00:00+00:00,0.0,1.0,5
15,37,7.222222222222222,98,46,5,2023-11-10 23:00:00+00:00,0.0,1.0,4
16,37,6.666666666666667,100,45,5,2023-11-11 00:00:00+00:00,0.0,1.0,4
17,33,6.666666666666667,99,44,5,2023-11-11 01:00:00+00:00,-0.7071067811865476,0.7071067811865476,4
18,28,6.111111111111111,99,43,5,2023-11-11 02:00:00+00:00,-0.7071067811865476,0.7071067811865476,4
19,24,5.555555555555555,98,43,6,2023-11-11 03:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
20,23,5.555555555555555,99,42,6,2023-11-11 04:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
21,23,5.0,100,41,6,2023-11-11 05:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
22,22,4.444444444444445,98,40,6,2023-11-11 06:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
23,19,3.888888888888889,95,40,6,2023-11-11 07:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
24,17,2.7777777777777777,93,39,5,2023-11-11 08:00:00+00:00,0.0,1.0,4
25,17,2.2222222222222223,90,39,5,2023-11-11 09:00:00+00:00,0.0,1.0,4
26,16,1.6666666666666667,88,38,5,2023-11-11 10:00:00+00:00,0.0,1.0,4
27,14,0.5555555555555556,87,37,6,2023-11-11 11:00:00+00:00,0.0,1.0,5
28,12,0.0,86,36,6,2023-11-11 12:00:00+00:00,0.0,1.0,5
29,11,0.0,83,36,5,2023-11-11 13:00:00+00:00,0.0,1.0,4
30,11,0.0,77,38,5,2023-11-11 14:00:00+00:00,0.0,1.0,4
31,11,0.0,70,41,5,2023-11-11 15:00:00+00:00,0.7071067811865476,0.7071067811865476,4
32,11,0.5555555555555556,63,44,6,2023-11-11 16:00:00+00:00,1.0,0.0,5
33,11,0.0,57,47,6,2023-11-11 17:00:00+00:00,1.0,0.0,5
34,11,0.0,53,48,6,2023-11-11 18:00:00+00:00,1.0,0.0,5
35,11,-0.5555555555555556,49,49,6,2023-11-11 19:00:00+00:00,1.0,0.0,5
36,11,-0.5555555555555556,48,50,5,2023-11-11 20:00:00+00:00,1.0,0.0,4
37,11,-0.5555555555555556,49,50,5,2023-11-11 21:00:00+00:00,1.0,0.0,4
38,10,0.0,52,49,5,2023-11-11 22:00:00+00:00,1.0,0.0,4
39,10,0.0,56,47,3,2023-11-11 23:00:00+00:00,1.0,0.0,3
40,10,0.0,62,44,2,2023-11-12 00:00:00+00:00,1.0,0.0,2
41,10,-0.5555555555555556,66,42,2,2023-11-12 01:00:00+00:00,0.7071067811865476,0.7071067811865476,2
42,9,-0.5555555555555556,69,41,3,2023-11-12 02:00:00+00:00,1.0,0.0,3
43,9,-0.5555555555555556,69,40,5,2023-11-12 03:00:00+00:00,1.0,0.0,4
44,9,-0.5555555555555556,69,40,6,2023-11-12 04:00:00+00:00,1.0,0.0,5
45,9,-0.5555555555555556,69,40,6,2023-11-12 05:00:00+00:00,1.0,0.0,5
46,9,-1.1111111111111112,70,39,6,2023-11-12 06:00:00+00:00,1.0,0.0,5
47,20,-1.1111111111111112,72,39,6,2023-11-12 07:00:00+00:00,1.0,0.0,5
48,21,-0.5555555555555556,74,38,7,2023-11-12 08:00:00+00:00,1.0,0.0,6
49,23,-0.5555555555555556,76,38,7,2023-11-12 09:00:00+00:00,1.0,0.0,6
50,24,-0.5555555555555556,78,38,7,2023-11-12 10:00:00+00:00,1.0,0.0,6
51,26,-0.5555555555555556,79,37,7,2023-11-12 11:00:00+00:00,1.0,0.0,6
52,28,-0.5555555555555556,79,37,7,2023-11-12 12:00:00+00:00,1.0,0.0,6
53,29,-0.5555555555555556,80,37,7,2023-11-12 13:00:00+00:00,1.0,0.0,6
54,29,0.0,82,37,7,2023-11-12 14:00:00+00:00,1.0,0.0,6
55,29,0.5555555555555556,83,37,8,2023-11-12 15:00:00+00:00,1.0,0.0,7
56,29,1.1111111111111112,83,38,8,2023-11-12 16:00:00+00:00,1.0,0.0,7
57,29,1.1111111111111112,81,39,8,2023-11-12 17:00:00+00:00,1.0,0.0,7
58,29,1.1111111111111112,77,41,7,2023-11-12 18:00:00+00:00,1.0,0.0,6
59,33,1.1111111111111112,74,42,7,2023-11-12 19:00:00+00:00,1.0,0.0,6
60,33,1.6666666666666667,73,43,7,2023-11-12 20:00:00+00:00,1.0,0.0,6
61,33,1.6666666666666667,73,43,7,2023-11-12 21:00:00+00:00,1.0,0.0,6
62,33,1.6666666666666667,75,43,6,2023-11-12 22:00:00+00:00,1.0,0.0,5
63,33,1.6666666666666667,79,41,6,2023-11-12 23:00:00+00:00,1.0,0.0,5
64,33,1.6666666666666667,83,40,5,2023-11-13 00:00:00+00:00,1.0,0.0,4
65,9,1.6666666666666667,87,38,5,2023-11-13 01:00:00+00:00,1.0,0.0,4
66,9,1.1111111111111112,89,37,5,2023-11-13 02:00:00+00:00,1.0,0.0,4
67,9,1.1111111111111112,90,37,6,2023-11-13 03:00:00+00:00,1.0,0.0,5
68,9,0.5555555555555556,90,36,5,2023-11-13 04:00:00+00:00,1.0,0.0,4
